Filename,Description
5-198373-A-46.wav,"The sound is that of a bell, specifically a church bell, throughout the entire duration of the audio."
1-51170-A-18.wav,A toilet is being flushed.
3-155766-A-13.wav,It is the sound of a frog croaking.
2-95258-B-1.wav,A rooster crows.
3-103051-B-19.wav,This is the sound of a thunderstorm with distant thunder and wind.
5-202540-A-18.wav,The sound is of a toilet being flushed.
4-154793-A-4.wav,This is the sound of a frog croaking at various intervals.
5-218494-A-22.wav,This is the sound of a crowd applauding.
5-157204-A-16.wav,It is the sound of a jet engine chugging and running continuously.
2-106881-A-39.wav,The sound is that of glass shards being stepped on and broken.
3-151081-B-20.wav,This is the sound of a baby crying.
5-260011-A-34.wav,This is the sound of a can being opened and the liquid being poured out.
5-235644-A-30.wav,This is the sound of someone knocking on a door.
3-129678-A-13.wav,Crickets chirping loudly and consistently.
1-36402-A-23.wav,A person sniffing.
1-53444-A-28.wav,It is the sound of someone snoring.
5-219242-A-37.wav,It is the sound of an electronic device beeping repeatedly.
3-98869-A-46.wav,"It is the sound of bell ringing, specifically change ringing which is a form of campanology."
1-260640-C-2.wav,A pig oinking loudly and repetitively.
2-188822-A-40.wav,"It is the sound of a vehicle or motor vehicle (road), likely a bus, with engine idling and also includes the sound of a clock ticking."
2-78651-A-44.wav,It is the sound of an engine idling.
4-182613-B-11.wav,The sound is of ocean waves crashing onto the shore.
3-115387-A-47.wav,The sound is that of a plane flying overhead.
1-51805-C-33.wav,It is the sound of a door being opened and closed repeatedly.
2-59566-A-46.wav,"It is the sound of bell ringing, specifically change ringing which is a form of campanology."
4-244318-A-6.wav,A rooster is crowing.
3-146033-A-13.wav,Crickets chirping in the distance.
1-79146-A-29.wav,The sound is that of someone drinking through a straw.
1-67033-A-37.wav,It is the sound of an alarm clock going off.
1-103999-A-30.wav,This is the sound of knocking on a door.
1-38560-A-14.wav,The sound is that of birds chirping lightly throughout the duration of the clip.
5-189795-A-4.wav,This is the sound of a frog croaking at various intervals.
5-202020-A-18.wav,A toilet is being flushed.
3-152020-B-36.wav,The sound is of a car engine idling loudly.
3-170015-A-0.wav,A dog barks sharply.
4-175845-A-43.wav,A vehicle honk passing by.
5-200329-B-8.wav,A large group of farm animals making noises.
4-181599-A-26.wav,It is the sound of a person laughing.
1-81001-B-30.wav,This is the sound of knocking on a door.
1-211527-B-20.wav,This is the sound of a baby crying.
3-253084-D-2.wav,This is the sound of a pig oinking loudly.
2-92978-A-29.wav,It is a sigh.
5-237315-A-31.wav,Typing on a keyboard.
3-68630-A-40.wav,The sound is that of an airplane engine chugging and running throughout the duration of the clip.
2-72547-A-14.wav,The sound is that of a bird calling and chirping.
3-169907-A-29.wav,"This is the sound of someone eating a loud, messy, and pleasurable snack."
4-186935-A-44.wav,It is the sound of a truck engine idling.
1-50688-A-17.wav,The sound of liquid being poured into a container.
5-233787-A-7.wav,It is the sound of a fly buzzing.
2-91912-B-33.wav,The sound is that of a door being opened and closed repeatedly.
5-259514-A-26.wav,human voice and laughter
4-185575-A-20.wav,It's a baby crying.
1-17808-A-12.wav,This is the sound of a fire crackling.
3-124376-B-3.wav,A cow moos nearby.
4-99644-B-4.wav,This is the sound of a frog croaking.
5-248341-B-6.wav,"It is the sound of a rooster, specifically a rooster crowing."
4-212604-C-15.wav,The sound is that of water dripping continuously.
5-218196-B-27.wav,This is the sound of someone brushing their teeth.
2-132157-B-11.wav,The sound is of ocean waves crashing onto the shore.
2-96460-A-1.wav,It is the sound of a rooster crowing.
3-170377-A-38.wav,The sound is that of a clock ticking.
4-150364-B-46.wav,The sound is that of large bells chiming together slowly.
4-188703-D-8.wav,A sheep bleats nearby.
5-195710-A-10.wav,It is the sound of ocean waves crashing onto the shore.
4-161127-A-10.wav,It is the sound of water flowing continuously.
3-102583-C-49.wav,It is the sound of a wooden file being used on wood.
4-165845-A-45.wav,The sound is that of a train moving on the railroad.
1-49409-B-8.wav,A flock of sheep baaing.
2-108767-B-9.wav,This is the sound of a bird cawing sharply and repetitively.
3-216280-A-39.wav,The sound is that of a glass breaking.
5-204352-B-13.wav,It is the sound of a cricket chirping.
1-51436-A-17.wav,The sound of liquid being poured from one vessel into another.
5-179294-A-46.wav,"It is the sound of a bell, specifically a church bell, throughout the entire duration of the audio."
3-216281-A-39.wav,The sound is that of a glass bottle being dropped on the ground.
3-98193-A-46.wav,"The sound is that of a bell ringing, specifically change ringing which is a form of campanology."
4-197454-A-28.wav,It is the sound of a person snoring.
2-109371-C-16.wav,It is the sound of an engine idling.
4-149940-B-5.wav,The sound is of a cat meowing repeatedly.
2-32515-C-4.wav,Frog croaking multiple times.
4-132816-A-26.wav,It is the sound of a person laughing loudly and repetitively.
1-72195-B-37.wav,It is a beep - bleep sound.
1-69760-A-16.wav,The sound is of ocean waves crashing onto the shore.
2-120587-A-6.wav,This is the sound of a rooster crowing.
2-79775-A-26.wav,It is the sound of a person laughing.
2-120218-A-30.wav,This is the sound of someone knocking on a door quickly and repeatedly.
5-242932-B-26.wav,It is the sound of a baby laughing.
4-223127-A-14.wav,The sound is of birds chirping lightly throughout the entire duration.
2-121909-A-35.wav,It is the sound of an engine idling.
2-77945-B-41.wav,The sound is of a light engine with high frequency resembling a chainsaw.
5-243773-A-44.wav,It is the sound of a car engine idling.
2-102414-E-17.wav,The sound of liquid being poured from one vessel into another.
2-30322-A-12.wav,This is the sound of a fire crackling.
2-118459-A-32.wav,Typing on a keyboard.
1-43807-C-47.wav,An aircraft engine runs idle.
3-94355-A-33.wav,It is the sound of a door being opened and closed.
5-204114-A-29.wav,It is the sound of someone sniffing and then eating something.
4-125929-A-40.wav,The sound is that of a helicopter flying by in the sky.
4-172500-D-27.wav,It's a dog panting back and forth quickly.
5-250258-A-49.wav,It is the sound of a wooden file being used on wood.
2-18766-B-12.wav,It is the sound of a fire crackling.
2-102568-A-35.wav,It is the sound of a washing machine in the process of washing clothes.
1-47819-C-5.wav,This is the sound of a cat meowing twice.
4-132383-A-2.wav,This is the sound of a pig grunting and snorting.
4-133895-A-7.wav,It is the buzzing of a mosquito.
4-169127-A-41.wav,The sound is of a light engine with a high frequency resembling a chainsaw.
2-140841-A-30.wav,The sound is that of a door being knocked.
2-98676-A-24.wav,It is a cough.
3-166324-A-15.wav,The sound is that of a light being turned on and off repeatedly.
1-50625-A-17.wav,The sound of liquid being poured from one vessel into another.
2-135649-C-45.wav,It is the sound of a subway train running on railroad tracks passing by.
1-24796-A-47.wav,This is the sound of a large aircraft taking off with booming engines.
5-263902-A-36.wav,It is the sound of an engine idling loudly.
4-163264-A-10.wav,It is the sound of water flowing and bubbling continuously.
5-253085-B-3.wav,This is the sound of a bull crying out.
4-196672-A-8.wav,A large group of farm animals bleat in unison.
1-59513-A-0.wav,A dog barks continuously.
3-51376-A-42.wav,It is the siren of an emergency vehicle.
4-185575-C-20.wav,It's a baby laughing and cooing.
3-142005-A-10.wav,This is the sound of heavy rainfall.
1-30039-A-26.wav,It is the sound of a crowd laughing.
3-110913-B-7.wav,This is the sound of a fly buzzing around.
3-170312-A-31.wav,Typing on a keyboard.
1-196660-A-8.wav,A large group of farm animals bleat in unison.
2-122104-A-0.wav,A dog barks continuously.
5-222894-A-32.wav,The sound is of typing on a keyboard.
4-164661-B-12.wav,The sound is that of a fire crackling.
4-151242-A-37.wav,It is a telephone ringtone.
4-212604-A-15.wav,It is the sound of water dripping continuously.
1-18631-A-23.wav,It is a human voice sighing.
1-76831-E-42.wav,A continuous emergency siren becomes rapid
2-82077-A-7.wav,This is the sound of a housefly buzzing around.
3-68630-C-40.wav,The sound is that of a large aircraft taking off with booming engines.
3-197408-C-8.wav,"The low quality recording features a flock of sheep bleating. The recording is noisy, in mono and it sounds like it was recorded outside."
2-138465-A-43.wav,"This is an experimental ambient electronic piece creating a dark soundscape with synthesizers, bass, drums, and electric guitar. It is instrumental only."
2-102852-A-11.wav,Water rushing by quickly.
4-156827-A-46.wav,"The sound is that of a bell, specifically a church bell, throughout the entire duration of the audio."
3-118972-B-41.wav,It is the sound of a light engine with a high frequency.
3-136608-A-16.wav,The sound is of ocean waves crashing onto the shore.
3-120526-A-37.wav,"A series of brief, sharp beeping tones."
2-87780-A-33.wav,A door being opened and closed.
5-201274-A-21.wav,It is a sneeze.
2-72547-C-14.wav,The sound is of birds chirping lightly throughout the entire duration.
4-167063-B-11.wav,The sound is of ocean waves crashing onto the shore.
4-204683-A-31.wav,The sound is that of an object being tapped.
3-94343-A-25.wav,The sound is of someone walking on a gravel path.
3-94342-A-25.wav,It is the sound of someone walking through leaves.
3-157695-A-0.wav,A dog barks continuously.
2-158746-C-2.wav,This is the sound of a pig oinking and snorting.
4-180337-A-28.wav,It is a sound of a person snoring.
5-263490-A-25.wav,It is the sound of someone running on a gravel path.
4-143118-A-7.wav,It is the buzzing of a mosquito.
2-114280-A-0.wav,Dogs are barking.
5-263491-A-25.wav,It is the sound of someone walking through dirt or snow.
5-233605-A-39.wav,This is the sound of a glass breaking.
5-200461-A-11.wav,The sound is of ocean waves crashing onto the shore.
2-109231-B-9.wav,The sound is of a bird cawing sharply and then quieting down for a moment before cawing again.
2-117116-A-37.wav,It is a sound of an alarm and a clock clicking with intermittent beeping.
2-106019-A-13.wav,This is the sound of a frog croaking near a road with heavy traffic noises in the background.
3-97909-A-49.wav,This is the sound of a blade being sawed in wood.
4-147657-A-46.wav,"This is a slow ambient experimental piece with a dark and meditative mood. It features synthesizers, piano, bass, drums, and electric guitar and is purely instrumental."
3-152007-E-20.wav,This is the sound of a baby crying.
1-172649-B-40.wav,The audio contains the sound of an engine idling consistently.
1-54505-A-21.wav,It is a sneeze.
5-170338-B-41.wav,It is the sound of a toy car being revved up and then accelerating.
1-137-A-32.wav,It is the sound of typing on a keyboard.
4-250869-B-2.wav,This is the sound of a pig oinking at various intervals.
5-244327-A-34.wav,A carbonated beverage can is being opened.
3-115387-C-47.wav,The sound is of a small plane flying by in the sky.
2-209478-A-25.wav,It is the sound of someone walking on a wooden floor.
4-218304-B-25.wav,The sound is of someone walking on gravel.
1-51805-A-33.wav,A door with creaky or rusty hinges is being opened and closed.
3-118657-B-41.wav,"The sound is of a light engine, possibly high frequency, with a chainsaw."
4-188293-B-15.wav,The sound is that of water dripping continuously.
2-76408-B-22.wav,It is the sound of human clapping.
4-261068-A-30.wav,This is the sound of a door being tapped on rapidly.
4-119647-B-48.wav,It is the sound of firecrackers and fireworks.
2-188822-C-40.wav,A helicopter engine runs continuously.
1-70300-A-45.wav,"The low quality recording features a train moving on railroad tracks passing by and a long blow of a horn. The recording is noisy, in mono and it sounds like it was recorded with a phone."
1-17367-A-10.wav,It is the sound of water flowing rapidly and continuously.
4-176631-A-43.wav,A car honk passing by.
2-135649-A-45.wav,This is the sound of a train moving on a railroad from a distance.
2-120586-A-6.wav,A rooster is crowing.
4-167642-A-21.wav,It is a sneeze.
4-255371-A-47.wav,The sound is of a plane flying by in the sky.
4-165791-B-45.wav,It is the sound of a train running on railroad tracks passing by.
5-187201-B-4.wav,This is the sound of a frog croaking during the night.
4-189836-A-22.wav,It is the sound of people applauding.
5-207836-D-29.wav,It is the sound of a person swallowing and making noises with their mouth.
2-69131-A-5.wav,It is a cat meowing.
3-101381-B-33.wav,It is the sound of a chair that is creaky or squeaky.
2-79769-A-26.wav,It is the sound of a person laughing.
3-118069-A-27.wav,This is the sound of someone brushing their teeth.
2-78381-A-46.wav,"It is the sound of a bell ringing, specifically a church bell, throughout the entire clip."
2-102414-G-17.wav,The sound of liquid being poured into a container.
5-151085-A-20.wav,A baby crying loudly.
4-178881-A-45.wav,The sound is that of a train moving on railroad tracks passing by.
1-88574-A-8.wav,The sound is that of a goat crying out.
1-61221-A-17.wav,The sound of liquid being poured into a container.
3-166125-B-23.wav,It is a human voice sighing.
1-43807-A-47.wav,A boat motor runs and the boat speeds away.
2-134049-A-6.wav,It is the sound of a rooster crowing.
2-141681-A-36.wav,It is the sound of an engine idling.
1-53501-A-32.wav,Typing on a keyboard.
1-60460-A-36.wav,It is the sound of a vacuum cleaner.
3-151557-A-28.wav,It is a sound of a person snoring.
2-39443-B-19.wav,It is the sound of a thunderstorm with loud thunder and strong winds.
1-74517-A-37.wav,The sound is that of an alarm clock going off.
3-126358-A-3.wav,The sound is that of a few cattle mooing nearby.
2-60791-A-26.wav,It is the sound of a crowd laughing.
5-194533-A-21.wav,It's a sneeze.
1-88807-A-39.wav,The sound is that of keys rattling together.
5-219379-B-11.wav,The sound is of ocean waves crashing onto the shore.
2-102567-D-35.wav,It is the sound of an engine idling.
1-28808-A-43.wav,It is the sound of a car honking several times.
1-94036-A-22.wav,"It is the sound of human group actions, specifically clapping."
4-211502-A-30.wav,This is the sound of a door being tapped on rapidly.
2-99955-C-7.wav,It is the sound of a fly buzzing around.
5-212181-A-38.wav,The sound is that of a clock ticking.
1-64473-A-45.wav,This is the sound of a helicopter flying in the sky with wind heavily blowing into the microphone.
4-232495-A-6.wav,A rooster is crowing.
4-181707-A-32.wav,Typing on a keyboard.
3-119120-B-48.wav,It is the sound of fireworks.
3-127890-C-9.wav,This is the sound of a bird cawing loudly and repetitively.
3-102583-A-49.wav,This is the sound of a person sawing through wood.
5-244651-A-31.wav,It is the sound of a single click of a mouse.
4-156993-A-19.wav,This is the sound of a thunderstorm with loud thunder and rain falling.
3-155577-A-14.wav,It is the sound of birds chirping in the wind.
1-155858-E-25.wav,"The sound of footsteps on a hard surface, such as pavement or concrete, over time."
5-259640-A-29.wav,This is the sound of someone swallowing.
2-50665-A-20.wav,This is the sound of a baby goat crying.
2-109371-A-16.wav,The sound is that of a boat motor running alongside the noise of waves slapping the boat.
3-174866-A-29.wav,The sound is of a person drinking through a straw.
1-31836-A-4.wav,各种野生鸟类的鸣叫声。
2-262579-A-45.wav,It is the sound of a train running on railroad tracks passing by quickly.
4-191246-B-7.wav,It is the buzzing of a housefly.
2-99955-A-7.wav,It is the sound of a fly buzzing.
2-209473-A-25.wav,It is the sound of someone walking down stairs and then walking away.
2-51630-A-49.wav,This is the sound of a wooden file being used on a piece of wood.
2-37806-D-40.wav,The sound is that of a helicopter flying by in the sky.
2-209472-A-25.wav,The sound is of someone walking through a very noisy area.
3-154758-A-44.wav,It is the sound of an engine idling.
3-127890-A-9.wav,The sound is of a bird cawing loudly and repetitively.
1-23094-B-15.wav,The sound is that of water dripping continuously.
4-102844-A-49.wav,It is the sound of a person sawing wood.
3-166546-B-34.wav,A can is being opened.
1-61534-A-27.wav,It is the sound of someone brushing their teeth.
1-46744-A-36.wav,An engine idles and then accelerates.
5-156999-E-19.wav,"A thunderstorm with loud thunder and strong winds occurring at intervals (0.00-1.03, 1.46-4.08, 7.56-8.93)."
1-24074-A-43.wav,This is the sound of a car horn honking several times.
4-154405-A-27.wav,This is the sound of someone brushing their teeth.
5-197118-A-45.wav,It is the sound of a steam train passing by.
4-160036-B-33.wav,The sound is of a door with hinges squeaking.
4-99644-D-4.wav,This is the sound of a frog croaking.
2-28314-A-12.wav,This is the sound of a fire crackling.
1-18074-A-6.wav,The sound is of a rooster crowing.
4-204777-C-39.wav,Shattering and crashing occur repeatedly.
4-204830-A-6.wav,A rooster is crowing.
3-167096-A-31.wav,Typing on a keyboard.
5-205898-A-40.wav,"It is the siren of an emergency vehicle, specifically a fire engine - fire truck (siren)."
5-256512-A-30.wav,This is the sound of someone knocking on a door.
2-61618-A-46.wav,"It is the sound of a bell, specifically a church bell, ringing throughout the entire duration of the audio."
4-204119-A-39.wav,The sound is that of glass being dropped on the ground.
4-149294-B-41.wav,A small vehicle motor is running.
5-184871-A-24.wav,It is a cough.
1-115545-C-48.wav,The sound of an explosion or fireworks.
5-191497-A-33.wav,A door with hinges squeaking.
5-212734-A-17.wav,The sound of liquid being poured from a container into another container.
5-263501-A-25.wav,It is the sound of someone walking through dirt or snow.
5-236288-A-28.wav,It is the sound of a person snoring.
1-46938-B-7.wav,A housefly buzzing around.
3-142349-A-17.wav,The sound of liquid being poured from one vessel into another.
5-256452-A-5.wav,It's a cat meowing.
3-158476-A-12.wav,The sound is that of a fire crackling.
3-182025-A-30.wav,This is the sound of a door being knocked.
3-253084-B-2.wav,This is the sound of a pig oinking loudly.
2-140147-A-38.wav,The sound is that of a clock ticking.
2-85292-A-24.wav,It is a cough.
5-241846-A-15.wav,The sound is that of liquid dripping and an object being dropped into liquid.
5-172639-A-5.wav,The sound is of a cat meowing repeatedly.
1-19026-A-43.wav,It is the sound of a car horn honking continuously.
4-136381-A-9.wav,It is the sound of a bird cawing loudly and repetitively.
1-51035-A-16.wav,The sound is of ocean waves crashing onto the shore.
5-198411-B-20.wav,It's a baby laughing and crying.
5-51149-A-25.wav,It is the sound of someone walking on a wooden floor.
1-69641-A-3.wav,A cow is making noises and breathing heavily.
5-245040-A-35.wav,A washing machine is running.
2-141682-B-36.wav,The sound is that of an engine idling consistently.
2-39441-A-19.wav,It is the sound of a thunderstorm with heavy rainfall and strong winds.
2-102435-A-37.wav,The sound is that of an alarm clock.
2-135728-A-38.wav,The sound is that of a clock ticking.
1-7974-B-49.wav,It is the sound of a wooden file being dragged and tapped against a wooden surface.
3-62878-B-42.wav,It is the siren of an emergency vehicle.
5-209992-B-44.wav,It is the sound of an engine idling.
2-72970-A-10.wav,It is the sound of water falling and dripping onto a surface.
3-130998-B-28.wav,This is the sound of a car engine idling.
3-142604-A-24.wav,It is a cough.
5-262641-A-15.wav,It is the sound of water dripping continuously.
4-213193-A-29.wav,The sound is that of a person drinking through a straw.
4-181865-A-38.wav,The sound is that of a clock ticking.
4-130891-A-7.wav,It is the buzzing of a bee.
2-123896-A-24.wav,respiratory sounds coughing.
3-134802-A-13.wav,Crickets chirping.
5-177779-A-33.wav,A door with hinges squeaking.
2-158746-A-2.wav,"This is the sound of a large animal, likely a pig, grunting."
5-171653-A-41.wav,The sound is that of a light engine with a high frequency.
4-205738-A-22.wav,It is the sound of people clapping.
1-94231-A-32.wav,Typing on a keyboard.
1-18527-B-44.wav,The audio contains the sound of an engine idling loudly.
5-254832-B-15.wav,The sound is that of water dripping.
5-234145-A-28.wav,It is a respiratory sound.
2-107351-B-20.wav,It is the sound of a baby crying loudly.
2-120333-A-32.wav,Typing on a keyboard.
1-61261-A-44.wav,The sound is of an engine idling loudly.
3-203371-A-39.wav,"This is the sound of a large object, likely a glass bottle, shattering."
1-7973-A-7.wav,It is the buzzing of a mosquito.
2-107228-B-44.wav,The sound is that of an engine idling.
4-189332-A-37.wav,This is the sound of an alarm clock.
4-218199-A-35.wav,It is the sound of an engine idling.
2-128631-A-21.wav,It is a sneeze.
5-193473-A-12.wav,It is the sound of fire crackling.
3-181132-A-14.wav,The sound is that of a bird calling and chirping lightly.
1-101404-A-34.wav,A can is being opened.
4-182039-A-30.wav,This is the sound of a door being knocked.
5-260434-A-39.wav,The sound is that of a glass bottle being dropped on the ground.
3-164594-A-15.wav,The sound is that of a liquid being poured into a container that already contains some liquid.
1-67230-A-29.wav,It is the sound of a person snoring.
3-151089-A-30.wav,This is the sound of knocking on a door.
3-164595-A-15.wav,It is the sound of water dropping.
4-181628-A-17.wav,The sound is of liquid being poured into a container that already contains some liquid.
3-108160-A-23.wav,It is the sound of a person sniffing.
4-172736-A-36.wav,It is the sound of an engine idling.
5-216214-A-13.wav,The sound is that of a cricket chirping in the evening.
4-196671-B-8.wav,A group of sheep making noises.
2-110417-A-28.wav,It is a sound of a horse neighing.
1-62594-A-32.wav,It is the sound of typing on a keyboard.
1-75189-A-7.wav,"It is the sound of a fly, a bee or a wasp and other similar insects."
4-183992-A-0.wav,A dog barks.
5-253094-C-49.wav,It is the sound of a file being scraped against a surface.
1-32373-B-35.wav,It is the sound of an engine idling.
1-27405-A-28.wav,It is a sound of a person snoring.
4-210000-A-23.wav,It is a human voice sighing.
4-194680-A-36.wav,It is the sound of water dripping.
2-54961-A-23.wav,A human sighing.
4-164064-B-1.wav,It is the sound of a rooster crowing.
4-188703-B-8.wav,A large group of farm animals bleat.
4-181286-A-10.wav,It is the sound of water falling and running continuously.
5-244459-A-28.wav,It is the sound of a baby softly snoring.
1-22694-A-20.wav,This is the sound of a baby crying.
2-152895-A-31.wav,The sound is that of an object being tapped repeatedly.
2-61311-A-12.wav,This is the sound of a fire crackling.
5-210540-A-13.wav,This is the sound of crickets chirping during the night.
3-134049-A-1.wav,This is the sound of a rooster crowing.
1-24524-B-19.wav,The sound is that of a thunderstorm with loud thunder and strong winds.
2-117271-A-0.wav,Dogs are barking.
3-103401-D-33.wav,A door with creaky or rusty hinges is being opened and closed.
3-197408-A-8.wav,A group of sheep are making noises.
3-166422-A-11.wav,The sound is that of ocean waves crashing onto the shore.
1-97392-A-0.wav,A dog barks repeatedly.
5-204741-A-46.wav,A bell ringing with birds chirping in the background.
3-155659-A-34.wav,A can is being opened.
1-52290-A-30.wav,The sound is that of a door being knocked.
4-161519-A-19.wav,This is the sound of a thunderstorm with distant thunder and wind.
5-223176-A-37.wav,It's a telephone ringtone.
5-251957-A-47.wav,The sound is that of a large aircraft taking off with booming engines.
4-99644-C-4.wav,This sound is that of a frog croaking.
3-95698-A-5.wav,A cat meowing a few times.
5-248341-C-6.wav,A rooster is crowing.
1-19111-A-24.wav,It is a cough.
3-155568-A-32.wav,It is the sound of typing on a keyboard.
1-43382-A-1.wav,This is the sound of a rooster crowing.
3-155642-B-11.wav,The sound is of ocean waves crashing onto the shore.
5-195517-A-7.wav,It is the sound of a housefly buzzing around.
3-259622-A-44.wav,It is the sound of an engine idling.
4-125825-B-46.wav,"It is the sound of a bell, specifically a church bell."
5-221950-A-22.wav,It is the sound of people clapping.
3-148330-A-21.wav,It is a sneeze.
5-257642-A-39.wav,Glass breaking and crashing.
3-152594-A-30.wav,"The sound is that of a hard object striking a hard surface, such as a door being knocked."
5-205589-B-17.wav,The sound is of liquid being poured into a container that already contains some liquid.
2-125520-A-43.wav,A car horn honking several times.
3-138114-A-22.wav,It is the sound of people cheering and clapping.
1-15689-B-4.wav,Frog croaking multiple times.
